ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
4949809,0.6673157012277571,18489.0,12338.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.73,2.0,0.02,3,3.0,18489.0,0.0,6,0,357.75942646996884,0.08959794044494629,7,0.028996549397792903
575531,0.6674238736546054,18489.0,12340.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.84,2.0,0.02,3,4.0,18489.0,0.0,6,0,490.50391888434683,0.06890416145324707,7,0.03974910201655971
3417479,0.6674238736546054,18489.0,12340.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.85,2.0,0.02,3,4.0,18489.0,0.0,6,0,448.46132518094845,0.08521914482116699,7,0.03634208469861819
4061813,0.6674238736546054,18489.0,12340.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.84,2.0,0.02,3,4.0,18489.0,0.0,6,0,353.65538017808404,0.08245396614074707,7,0.028659269058191574
2059055,0.6674238736546054,18489.0,12340.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.84,2.0,0.02,3,4.0,18489.0,0.0,6,0,275.7836889382684,0.08011889457702637,7,0.022348759233247036
150665,0.6674238736546054,18489.0,12340.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.84,2.0,0.02,3,4.0,18489.0,0.0,6,0,405.8306227613425,0.0859062671661377,7,0.0328874086516485
3607921,0.6673157012277571,18489.0,12338.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.79,2.0,0.02,3,3.0,18489.0,0.0,6,0,261.72761729240284,0.08219170570373535,7,0.02121313156852025
2325265,0.6673157012277571,18489.0,12338.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.81,2.0,0.02,3,3.0,18489.0,0.0,6,0,253.9402432518759,0.09146285057067871,7,0.020581961683569128
1010824,0.6673157012277571,18489.0,12338.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.8,2.0,0.02,3,3.0,18489.0,0.0,6,0,254.49378284270165,0.08134698867797852,7,0.020626826296215078
3093249,0.6673157012277571,18489.0,12338.0,[],12,0.3,0.5,4,34,0.01,0.08525918368867062,0.79,2.0,0.02,3,3.0,18489.0,0.0,6,0,226.17274049548902,0.08165597915649414,7,0.018331394107269333
