ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
2411515,0.7202668810289389,311000.0,224003.0,[],50,0.1,0.5,5,14,0.1,0.07515400419035109,0.09,2.94,1.17,5,0.0,311000.0,0.0,6,4,160763.41902830347,0.028972148895263672,15,0.2886221780283113
2848041,1.0,282000.0,282000.0,[],50,0.1,0.5,5,19,0.1,0.060287083643005376,0.28,2.9,1.19,5,0.0,282000.0,0.0,6,4,97916.47476862221,0.14610004425048828,15,0.34722154173270287
4578957,0.8772599277978339,277000.0,243001.0,[],50,0.1,0.5,5,23,0.1,0.04364140936485564,0.21,2.98,0.94,5,0.0,277000.0,0.0,6,4,91381.68886957828,0.15311551094055176,15,0.21055640164326414
5472437,0.5368561403508771,285000.0,153004.0,[],50,0.1,0.5,5,26,0.1,0.05138809808363602,0.14,2.84,1.11,5,0.0,285000.0,0.0,6,4,143556.85038199453,0.01819896697998047,15,0.371905084874754
6191542,1.0,266000.0,266000.0,[],50,0.1,0.5,5,30,0.1,0.08942012444808983,0.18,2.82,1.15,5,0.0,266000.0,0.0,6,4,58068.00542822859,0.07642412185668945,15,0.21830077228657366
5455010,0.6744252491694352,301000.0,203002.0,[],50,0.1,0.5,5,33,0.1,0.0697420118056913,0.09,2.88,0.58,5,0.0,301000.0,0.0,6,4,74256.48882278794,0.007977724075317383,15,0.21155574276724332
3007318,0.7106425531914894,235000.0,167001.0,[],50,0.1,0.5,5,35,0.1,1.0,0.03,2.9,0.4,5,0.0,235000.0,0.0,6,4,30393.033715713646,0.0022149085998535156,15,0.12108730130841569
2995737,0.8755060240963856,249000.0,218001.0,[],50,0.1,0.5,5,39,0.1,0.04544477028575017,0.12,2.98,0.87,5,0.0,249000.0,0.0,6,4,42158.79898102192,0.03934764862060547,15,0.10893718357580968
9319793,0.8211788321167883,274000.0,225003.0,[],50,0.1,0.5,5,44,0.1,1.0,0.2,2.8,0.97,5,0.0,274000.0,0.0,6,4,135634.40022604048,0.024651050567626953,15,0.29875221138635755
5834229,0.4210842105263158,190000.0,80006.0,[],50,0.1,0.5,5,48,0.1,0.07172216774635987,0.05,2.76,0.83,5,0.0,190000.0,0.0,6,4,294243.23711120937,0.01197504997253418,15,0.18007167360728685
6491359,0.720008,250000.0,180002.0,[],50,0.1,0.5,5,52,0.1,1.0,0.42,2.84,1.05,5,0.0,250000.0,0.0,6,4,102194.19708521178,0.1078042984008789,15,0.17032252632517747
6990729,0.7716986301369863,219000.0,169002.0,[],50,0.1,0.5,5,57,0.1,0.06764801761480525,0.17,2.9,1.2,5,0.0,219000.0,0.0,6,4,87049.3078119886,0.008324861526489258,15,0.29913645889715057
1642214,0.5660528301886792,265000.0,150004.0,[],50,0.1,0.5,5,61,0.1,0.07333437054049458,0.14,2.74,0.99,5,0.0,265000.0,0.0,6,4,204119.9856658443,0.012077808380126953,15,0.23957379249594113
1050140,0.9572401315789474,304000.0,291001.0,[],50,0.1,0.5,5,65,0.1,0.08232804735403254,0.25,2.86,0.87,5,0.0,304000.0,0.0,6,4,67619.39806172128,0.014530658721923828,15,0.1602351607264468
1219452,0.6884615384615385,260000.0,179000.0,[],50,0.1,0.5,5,69,0.1,0.04732231111115728,0.3,3.16,1.0,5,0.0,260000.0,0.0,6,4,24635.00657170332,0.17960906028747559,15,0.09475002527578201
8916247,0.8381941747572815,309000.0,259002.0,[],50,0.1,0.5,5,74,0.1,0.0749986989776211,0.21,3.1,0.86,5,0.0,309000.0,0.0,6,4,109221.24221319957,0.03026103973388672,15,0.27791523252604206
5618304,0.6872920962199313,291000.0,200002.0,[],50,0.1,0.5,5,76,0.1,0.09848960768504415,0.07,2.86,0.46,5,0.0,291000.0,0.0,6,4,61083.83902124054,0.003023386001586914,15,0.21660782200566145
9998700,0.5850374149659864,294000.0,172001.0,[],50,0.1,0.5,5,79,0.1,0.06705643681080832,0.12,2.74,0.64,5,0.0,294000.0,0.0,6,4,72175.47788219676,0.03849077224731445,15,0.20920367732904183
6999032,0.803921568627451,306000.0,246000.0,[],50,0.1,0.5,5,83,0.1,0.06910362607320468,0.16,3.18,0.61,5,0.0,306000.0,0.0,6,4,61917.05398608479,0.006143093109130859,15,0.25169534140684874
6594971,0.86334,300000.0,259002.0,[],50,0.1,0.5,5,87,0.1,0.09791919922308465,0.75,2.92,0.98,5,0.0,300000.0,0.0,6,4,120055.96484304791,0.021892786026000977,15,0.2879026116014981
2885116,0.8938424657534246,292000.0,261002.0,[],50,0.2,0.5,5,90,0.1,0.06543075313026653,0.22,2.92,0.88,5,0.0,292000.0,0.0,6,4,64913.09954058294,0.015033721923828125,15,0.15529375347625834
3592182,0.8125098684210527,304000.0,247003.0,[],50,0.2,0.5,5,94,0.1,0.07545203764062995,0.26,2.98,0.73,5,0.0,304000.0,0.0,6,4,53776.084079584725,0.009857177734375,13,0.12712932078397723
3610041,0.7307692307692307,286000.0,209000.0,[],50,0.2,0.5,5,97,0.1,0.07385341240917162,0.27,2.98,0.76,5,0.0,286000.0,0.0,6,4,79205.36561002207,0.012328147888183594,15,0.27694183779728
9915556,0.6870267175572519,262000.0,180001.0,[],50,0.2,0.5,5,99,0.1,0.04770799592760547,0.46,3.06,0.34,5,0.0,262000.0,0.0,6,4,44619.829656722104,0.11499929428100586,13,0.14629404381206
4322011,0.8447045454545454,264000.0,223002.0,[],50,0.2,0.5,5,102,0.1,1.0,0.49,3.12,0.79,5,0.0,264000.0,0.0,6,4,66150.99868831156,0.023257732391357422,13,0.15528330545000155
9048482,0.4524655737704918,305000.0,138002.0,[],50,0.2,0.5,5,105,0.1,0.06473472307125488,0.73,2.9,1.4,5,0.0,305000.0,0.0,6,4,169627.30572144926,0.13347983360290527,15,0.1466082048670663
9794727,0.5744851063829787,235000.0,135004.0,[],50,0.2,0.5,5,108,0.1,0.09163547253521755,0.25,2.94,1.0,5,0.0,235000.0,0.0,6,4,113575.7593643862,0.025018692016601562,15,0.12318278474678822
9738653,0.6277665615141956,317000.0,199002.0,[],50,0.2,0.5,5,110,0.1,0.05713604990721066,0.16,2.98,0.49,5,0.0,317000.0,0.0,6,4,103986.82001727597,0.016419172286987305,15,0.27437010891044367
9804481,1.0,272000.0,272000.0,[],50,0.2,0.5,5,113,0.1,0.0735882120562436,0.42,2.74,0.59,5,0.0,272000.0,0.0,6,4,67309.72219388577,0.009577512741088867,15,0.24746221394810944
7426526,0.9122947368421053,285000.0,260004.0,[],50,0.2,0.5,5,117,0.1,0.07142614741810477,0.5,2.88,1.16,5,0.0,285000.0,0.0,6,4,84064.14968295829,0.038016557693481445,15,0.19459113731113206
5213915,0.75715,280000.0,212002.0,[],50,0.2,0.5,5,121,0.1,0.09785427535208283,0.35,3.1,1.69,5,0.0,280000.0,0.0,6,4,116736.95875831455,0.016263961791992188,15,0.29330746769693256
1870510,0.8611111111111112,324000.0,279000.0,[],50,0.2,0.5,5,125,0.1,0.08602181195375297,0.53,3.04,1.69,5,0.0,324000.0,0.0,6,4,30307.095759269032,0.009010076522827148,15,0.09354041901008961
5452940,0.8907849829351536,293000.0,261000.0,[],50,0.2,0.5,5,128,0.1,0.040707486605994006,0.37,3.0,0.83,5,0.0,293000.0,0.0,6,4,36546.94090352852,0.08559703826904297,15,0.12473358670146253
2892329,0.9515462555066079,227000.0,216001.0,[],50,0.2,0.5,5,131,0.1,0.07405345929177021,0.33,2.94,1.33,5,0.0,227000.0,0.0,6,4,80035.93151925062,0.037081003189086914,15,0.24034742093642547
4643867,0.6981963636363636,275000.0,192004.0,[],50,0.2,0.5,5,135,0.1,1.0,0.93,2.9,1.09,5,0.0,275000.0,0.0,6,4,130908.68042462398,0.03137946128845215,15,0.2975170235375678
5751952,0.9670718562874252,334000.0,323002.0,[],50,0.2,0.5,5,139,0.1,0.0773645080715966,0.37,2.96,1.26,5,0.0,334000.0,0.0,6,4,141509.89223847399,0.023261070251464844,15,0.25314738093687317
3714780,0.9502352941176471,221000.0,210002.0,[],50,0.2,0.5,5,142,0.1,0.07419586208121723,0.55,2.94,1.4,5,0.0,221000.0,0.0,6,4,142393.63220470812,0.019694089889526367,15,0.359578063253994
2691923,0.6148296296296296,270000.0,166004.0,[],50,0.2,0.5,5,144,0.1,0.08662776621902735,0.39,2.88,0.5,5,0.0,270000.0,0.0,6,4,49178.48929386554,0.09383988380432129,11,0.13660501741327355
4174882,0.6983639344262295,305000.0,213001.0,[],50,0.2,0.5,5,147,0.1,0.09686601835279532,0.7,2.9,1.4,5,0.0,305000.0,0.0,6,4,84766.31670382402,0.05649256706237793,15,0.17405778777420175
4621502,0.8109345454545455,275000.0,223007.0,[],50,0.2,0.5,5,150,0.1,0.08270646543823154,0.59,2.92,1.19,5,0.0,275000.0,0.0,6,4,90630.55270892082,0.05389833450317383,15,0.18841836544773946
4455918,0.42198936170212764,282000.0,119001.0,[],50,0.3,0.5,5,150,0.1,0.055483557854789596,0.05,3.02,0.11,5,0.0,282000.0,0.0,6,4,0.0,0.0019369125366210938,0,0.0
955174,1.0,275000.0,275000.0,[],50,0.3,0.5,5,152,0.1,0.04100806244827076,0.94,3.06,0.57,5,0.0,275000.0,0.0,6,4,24122.822294317528,0.09339570999145508,15,0.08771935379751829
3953103,0.5419923664122137,262000.0,142002.0,[],50,0.3,0.5,5,153,0.1,0.072338048479492,0.17,3.18,0.36,5,0.0,262000.0,0.0,6,4,23575.258594854742,0.004696369171142578,15,0.08796672634851509
5581693,0.6151094339622641,265000.0,163004.0,[],50,0.3,0.5,5,156,0.1,0.04562559010876948,0.62,2.94,0.57,5,0.0,265000.0,0.0,6,4,16024.714093350412,0.16393160820007324,11,0.03063963719986083
5145162,0.705885813148789,289000.0,204001.0,[],50,0.3,0.5,5,159,0.1,0.07275949866971236,0.48,3.0,0.72,5,0.0,289000.0,0.0,6,4,64312.87819193378,0.18465352058410645,15,0.16879976218417742
9903043,0.8736462093862816,277000.0,242000.0,[],50,0.3,0.5,5,162,0.1,0.06469402456060351,0.22,3.34,0.47,5,0.0,277000.0,0.0,6,4,83761.05479465751,0.008139610290527344,15,0.34612006113494836
7179845,0.7545824175824176,273000.0,206001.0,[],50,0.3,0.5,5,166,0.1,0.05280615529975093,0.39,2.86,1.29,5,0.0,273000.0,0.0,6,4,174632.31485680025,0.02299666404724121,15,0.40424053383395003
1210310,0.6898502673796791,187000.0,129002.0,[],50,0.3,0.5,5,167,0.1,0.09170884402981638,0.06,2.9,0.24,5,0.0,187000.0,0.0,6,4,42935.440146950365,0.0021359920501708984,13,0.3328277092366813
3130628,0.49110320284697506,281000.0,138000.0,[],50,0.3,0.5,5,169,0.1,0.07200381735623079,0.28,2.94,0.43,5,0.0,281000.0,0.0,6,4,28803.215065072163,0.005285501480102539,15,0.16458980037184093
8331815,0.6680756302521008,238000.0,159002.0,[],50,0.3,0.5,5,171,0.1,1.0,0.22,3.12,0.26,5,0.0,238000.0,0.0,6,4,23940.559775408965,0.002947568893432617,13,0.15056766440301986
9349720,0.38154461538461537,325000.0,124002.0,[],50,0.3,0.5,5,174,0.1,0.07896231221823369,0.42,2.82,1.17,5,0.0,325000.0,0.0,6,4,211716.98409292617,0.021335840225219727,15,0.20298633867996232
5417680,0.8869257950530035,283000.0,251000.0,[],50,0.3,0.5,5,177,0.1,0.05898614361032092,0.26,3.06,0.85,5,0.0,283000.0,0.0,6,4,83837.32254944643,0.01865386962890625,15,0.296244956005111
3219840,0.4427557251908397,262000.0,116002.0,[],50,0.3,0.5,5,178,0.1,0.06868171239971782,0.16,2.74,0.13,5,0.0,262000.0,0.0,6,4,0.0,0.026032209396362305,0,0.0
100720,0.7885828571428571,175000.0,138002.0,[],50,0.3,0.5,5,181,0.1,0.0661173789198432,0.07,2.9,0.64,5,0.0,175000.0,0.0,6,4,54890.222810337225,0.003305673599243164,13,0.21695568734767798
809295,0.6395021459227468,233000.0,149004.0,[],50,0.3,0.5,5,184,0.1,0.06152504328322519,0.52,2.96,0.86,5,0.0,233000.0,0.0,6,4,134209.0259868337,0.059424638748168945,15,0.18460359111931263
8177879,0.6311639344262295,244000.0,154004.0,[],50,0.3,0.5,5,186,0.1,0.08765811659691898,0.27,2.92,1.0,5,0.0,244000.0,0.0,6,4,150704.74068331908,0.009155750274658203,15,0.1754396221278854
3288213,0.5023255813953489,215000.0,108000.0,[],50,0.3,0.5,5,188,0.1,0.0664753528831096,0.46,2.9,0.53,5,0.0,215000.0,0.0,6,4,14418.97975359409,0.05889558792114258,15,0.06706502210973996
9834801,0.8339100346020761,289000.0,241000.0,[],50,0.3,0.5,5,192,0.1,0.07425509891963519,1.04,2.82,0.99,5,0.0,289000.0,0.0,6,4,34022.28022014517,0.05103468894958496,15,0.11772415301088295
3202572,0.7906025641025641,234000.0,185001.0,[],50,0.3,0.5,5,193,0.1,0.06861278939668847,0.08,3.0,0.54,5,0.0,234000.0,0.0,6,4,42888.24316901861,0.0032253265380859375,15,0.14943586666603467
2690645,0.5071464285714286,280000.0,142001.0,[],50,0.3,0.5,5,194,0.1,0.08617964349335654,0.79,2.9,0.82,5,0.0,280000.0,0.0,6,4,75661.7261795159,0.025912046432495117,15,0.21075631037104603
3784562,0.5555555555555556,333000.0,185000.0,[],50,0.4,0.5,5,196,0.1,0.0655449861096189,0.26,3.08,0.63,5,0.0,333000.0,0.0,6,4,82709.90958451189,0.017965078353881836,15,0.3029667017747688
427948,0.5695016949152543,295000.0,168003.0,[],50,0.4,0.5,5,199,0.1,1.0,1.28,2.84,1.14,5,0.0,295000.0,0.0,6,4,99391.8643201472,0.039990901947021484,15,0.1648275956586549
1740190,0.8852459016393442,305000.0,270000.0,[],50,0.4,0.5,5,200,0.1,0.04334822955234024,0.21,2.9,0.39,5,0.0,305000.0,0.0,6,4,37496.19973124774,0.019017457962036133,15,0.13887481381943606
