ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
4404106,0.5646049143903775,233620.0,131903.0,[],50,1.3,0.5,5,8,0.1,0.09472437657504124,0.05,2.3,1.86,5,0.0,233620.0,0.0,6,15,116674.33224572576,0.014025211334228516,15,0.26854219306084787
3518920,0.509055644729802,224280.0,114171.0,[],50,1.3,0.5,5,13,0.1,0.08191905548119163,0.17,2.3,3.94,5,0.0,224280.0,0.0,6,15,226130.29547653062,0.3375096321105957,15,0.1621335780736226
7408269,0.5265724366694133,236655.0,124616.0,[],50,1.3,0.5,5,17,0.1,0.07146186109994956,0.1,2.3,1.84,5,0.0,236655.0,0.0,6,15,107835.19103853474,0.01963353157043457,15,0.10362182405080496
4719744,0.5026121761112281,237350.0,119295.0,[],50,1.3,0.5,5,22,0.1,0.0820944744918558,0.11,2.3,3.79,5,0.0,237350.0,0.0,6,15,172221.17703384758,0.10175609588623047,15,0.1027017477627533
7087687,0.47512250453720506,220400.0,104717.0,[],50,1.3,0.5,5,25,0.1,0.07795284615130023,0.06,2.3,1.97,5,0.0,220400.0,0.0,6,15,137630.04884991728,0.01470041275024414,15,0.10596422859710224
4834109,0.598940258059297,247230.0,148076.0,[],50,1.3,0.5,5,26,0.1,0.09781693696767728,0.09,2.3,1.74,5,0.0,247230.0,0.0,6,15,100747.00255809285,0.01727890968322754,11,0.10784203808579541
6142972,0.5780864349279708,203390.0,117577.0,[],50,1.3,0.5,5,30,0.1,0.07934690681190877,0.12,2.3,2.87,5,0.0,203390.0,0.0,6,15,313114.6627506647,0.07115650177001953,15,0.277425040934593
1116928,0.32693779059502087,254865.0,83325.0,[],50,1.3,0.5,5,35,0.1,0.06729383626680364,0.29,2.3,3.53,5,0.0,254865.0,0.0,6,15,335623.8818420276,0.13084888458251953,15,0.20502325091571408
8087979,0.6457801175665148,211795.0,136773.0,[],50,1.3,0.5,5,40,0.1,1.0,0.24,2.3,2.68,5,0.0,211795.0,0.0,6,15,191566.47756754278,0.021122455596923828,15,0.12345881648756385
8275193,0.45623041271242554,226550.0,103359.0,[],50,1.3,0.5,5,43,0.1,0.07729440785854512,0.12,2.3,1.24,5,0.0,226550.0,0.0,6,15,13158.96168800918,0.007568836212158203,11,0.030017865433637672
8395597,0.6051752758519676,256025.0,154940.0,[],50,1.3,0.5,5,48,0.1,0.06117035356154026,0.2,2.3,2.65,5,0.0,256025.0,0.0,6,15,218228.29668596172,0.08611130714416504,15,0.1528210430721322
8459437,0.5024116338042747,193230.0,97081.0,[],50,1.3,0.5,5,52,0.1,0.05521154966287769,0.35,2.3,2.07,5,0.0,193230.0,0.0,6,15,122308.04170271425,0.225236177444458,15,0.1486458580637376
3037037,0.3996152150386789,249490.0,99700.0,[],50,1.3,0.5,5,54,0.1,0.0599849005134275,0.14,2.3,2.12,5,0.0,249490.0,0.0,6,15,165793.316909487,0.028158903121948242,15,0.08125402704402157
