ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
5992986,0.4601631951900365,232850.0,107149.0,[],50,1.3,0.5,5,3706,0.1,0.0734244377859324,8.72,2.3,2.6,5,0.0,232850.0,0.0,10,14,26612.83525950917,0.4962704181671142,9,0.1460967355964249
5546391,0.2266416806391162,253475.0,57448.0,[],50,1.3,0.5,5,3707,0.1,0.0726463123997559,0.9,2.3,0.27,5,0.0,253475.0,0.0,10,14,7721.438271611318,0.0407612323760986,9,0.1344074340553425
676673,0.5278725131952903,246300.0,130015.0,[],50,1.3,0.5,5,3710,0.1,0.0832379084041839,3.65,2.3,0.74,5,0.0,246300.0,0.0,10,14,20826.328080812465,0.0796065330505371,9,0.0392568868697385
316445,0.2330444059207894,224970.0,52428.0,[],50,1.3,0.5,5,3710,0.1,0.0872105227003337,0.99,2.3,0.33,5,0.0,224970.0,0.0,10,14,8426.958209973183,0.1066696643829345,9,0.1607339248106581
4701969,0.4453811849649607,188360.0,83892.0,[],50,1.3,0.5,5,3713,0.1,0.0666679478729009,3.92,2.36,2.6,5,0.0,188360.0,0.0,10,14,66256.49433187817,1.9744811058044436,15,0.1285727482217525
7094140,0.6461593750591084,264345.0,170809.0,[],50,1.3,0.5,5,3716,0.1,0.0740040167344013,3.09,2.3,0.77,5,0.0,264345.0,0.0,10,14,63384.53954715947,0.0412678718566894,15,0.2235872980862025
2592856,0.4000418099043017,215260.0,86113.0,[],50,1.3,0.5,5,3718,0.1,0.073996726762966,1.49,2.3,0.5,5,0.0,215260.0,0.0,10,14,21554.47990146456,0.0107884407043457,9,0.2503045986258121
9450400,0.4452722653299457,291260.0,129690.0,[],50,1.3,0.5,5,3720,0.1,0.0692332868733553,3.16,2.3,1.59,5,0.0,291260.0,0.0,10,14,43335.06649881222,1.106184720993042,15,0.1285784925431775
9943925,0.3851589693728731,257125.0,99034.0,[],50,1.3,0.5,5,3721,0.1,0.0615403974516643,1.83,2.3,0.35,5,0.0,257125.0,0.0,10,14,10416.37251370918,0.1068391799926757,9,0.1051797616344809
690320,0.2787925862438397,186680.0,52045.0,[],50,1.3,0.5,5,3723,0.1,0.08620704007775,1.51,2.3,1.43,5,0.0,186680.0,0.0,10,14,106594.27096416568,0.0096020698547363,15,0.4728213826296034
1623031,0.2350894074252265,249420.0,58636.0,[],50,1.3,0.5,5,3724,0.1,0.0728929106637688,2.09,2.3,1.0,5,0.0,249420.0,0.0,10,14,9800.961172751911,0.1492295265197754,9,0.167149211623438
3913221,0.2895058987082697,258955.0,74969.0,[],50,1.3,0.5,5,3725,0.1,0.068999268720671,4.43,2.32,0.22,5,0.0,258955.0,0.0,10,14,0.0,2.457875490188598,0,0.0
5093647,0.5073117752163403,285430.0,144802.0,[],50,1.3,0.5,5,3728,0.1,0.0820171909864151,1.68,2.3,0.63,5,0.0,285430.0,0.0,10,14,29477.5493369358,0.0391552448272705,9,0.0360714898187903
7476554,0.4007419183889772,320790.0,128554.0,[],50,1.3,0.5,5,3730,0.1,0.0944239798755336,3.21,2.3,1.11,5,0.0,320790.0,0.0,10,14,57211.578369965,0.9109811782836914,15,0.19083057330969
4837729,0.5951537258989057,249470.0,148473.0,[],50,1.3,0.5,5,3733,0.1,0.0847441843750564,10.83,2.3,1.77,5,0.0,249470.0,0.0,10,14,47200.78112507191,1.3520870208740234,15,0.1743959280889992
4401561,0.5147892979415867,236590.0,121794.0,[],50,1.3,0.5,5,3735,0.1,0.0818693513875492,5.14,2.3,1.11,5,0.0,236590.0,0.0,10,14,185613.93055343776,0.4360837936401367,15,0.2160982644204353
9260812,0.5260739303804289,231975.0,122036.0,[],50,1.3,0.5,5,3738,0.1,0.0793696190243464,5.18,2.3,0.9,5,0.0,231975.0,0.0,10,14,14738.442925104764,0.6303784847259521,9,0.10295012555867
8562004,0.460265580615353,292190.0,134485.0,[],50,1.3,0.5,5,3740,0.1,0.0760785006930257,0.9,2.3,1.29,5,0.0,292190.0,0.0,10,14,25832.46926073586,0.1283984184265136,9,0.115074366932026
9723375,0.3725533191286899,241705.0,90048.0,[],50,1.3,0.5,5,3742,0.1,0.0873934628714966,4.95,2.3,0.33,5,0.0,241705.0,0.0,10,14,14074.193150260193,0.1071536540985107,9,0.1562965657233941
4015348,0.2713100453611445,257930.0,69979.0,[],50,1.3,0.5,5,3743,0.1,0.080870435112798,3.83,2.3,0.23,5,0.0,257930.0,0.0,10,14,0.0,1.0326530933380127,0,0.0
7127048,0.2804543565590802,216570.0,60738.0,[],50,1.3,0.5,5,3745,0.1,0.0835472115965837,3.42,2.3,1.35,5,0.0,216570.0,0.0,10,14,16630.572363665557,0.7424306869506836,15,0.1066410965358261
774902,0.4650607630340155,253855.0,118058.0,[],50,1.3,0.5,5,3749,0.1,0.0787813736264306,4.59,2.3,1.23,5,0.0,253855.0,0.0,10,14,140042.90259740292,0.919539213180542,15,0.1889751946150512
2720739,0.1979020254161743,241185.0,47731.0,[],50,1.3,0.5,5,3750,0.1,0.0704770299179447,1.68,2.3,0.14,5,0.0,241185.0,0.0,10,14,0.0,0.1071939468383789,0,0.0
9824714,0.5068139114404225,282070.0,142957.0,[],50,1.3,0.5,5,3754,0.1,0.0596360009564625,6.52,2.3,2.03,5,0.0,282070.0,0.0,10,14,77897.98928375985,3.111714124679565,15,0.2715795925983406
913951,0.5160095460647343,201130.0,103785.0,[],50,1.3,0.5,5,3756,0.1,0.0810068198031975,3.69,2.3,6.6,5,0.0,201130.0,0.0,10,14,34489.01703016847,0.3043880462646484,15,0.1710790191826687
1959522,0.6915069195284469,195100.0,134913.0,[],50,1.3,0.5,5,3759,0.1,0.0825480814416204,8.74,2.3,1.6,5,0.0,195100.0,0.0,10,14,45913.12822098455,0.8835818767547607,15,0.1984154132947184
9633192,0.3986302706288658,256255.0,102151.0,[],50,1.3,0.5,5,3762,0.1,0.0704340817859246,6.22,2.3,1.72,5,0.0,256255.0,0.0,10,14,43834.75206043785,1.387389898300171,15,0.0873322270599701
1543749,0.7661868235788589,237925.0,182295.0,[],50,1.3,0.5,5,3767,0.1,0.0732994070385412,7.36,2.3,1.66,5,0.0,237925.0,0.0,10,14,88849.36900669642,0.9046022891998292,15,0.3039039848361486
8647764,0.2473168781852703,200140.0,49498.0,[],50,1.3,0.5,5,3767,0.1,0.0939665218082662,0.53,2.3,0.44,5,0.0,200140.0,0.0,10,14,14620.113365169069,0.0106654167175292,9,0.2953677596098644
697965,0.4000522932781348,229475.0,91802.0,[],50,1.3,0.5,5,3771,0.1,0.0835962800390958,3.05,2.3,0.71,5,0.0,229475.0,0.0,10,14,33008.200316403054,0.030015230178833,9,0.3595586187272941
887503,0.3033516923221767,212430.0,64441.0,[],50,1.3,0.5,5,3771,0.1,0.0872427493916515,2.14,2.3,0.58,5,0.0,212430.0,0.0,10,14,18370.12965322276,0.452951431274414,9,0.285068972443363
6826783,0.5619138852475547,198340.0,111450.0,[],50,1.3,0.5,5,3773,0.1,0.0723394241144278,1.48,2.3,0.57,5,0.0,198340.0,0.0,10,14,30360.105158507577,0.0396609306335449,11,0.2724100956348818
3313763,0.2325240896008009,239730.0,55743.0,[],50,1.3,0.5,5,3773,0.1,0.0718200844385537,0.74,2.3,0.49,5,0.0,239730.0,0.0,10,14,3315.319223045876,0.049267292022705,9,0.0111452788338954
800241,0.3189765723890353,240955.0,76859.0,[],50,1.3,0.5,5,3775,0.1,0.0903381065027636,5.15,2.3,1.52,5,0.0,240955.0,0.0,10,14,39946.65953411095,1.8972585201263428,15,0.1937437108496381
342349,0.6805651710099493,229665.0,156302.0,[],50,1.3,0.5,5,3779,0.1,0.0797274620728455,9.58,2.3,2.82,5,0.0,229665.0,0.0,10,14,44651.683717580425,1.3935542106628418,15,0.1888172145651465
5470572,0.4496684375848295,257870.0,115956.0,[],50,1.3,0.5,5,3781,0.1,0.0790715290577306,3.46,2.3,1.14,5,0.0,257870.0,0.0,10,14,59222.92265745225,1.7256147861480713,15,0.2523947880936749
1742952,0.4409639160980032,198565.0,87560.0,[],50,1.3,0.5,5,3784,0.1,0.0744908448922895,8.38,2.3,1.69,5,0.0,198565.0,0.0,10,14,30700.39161018148,0.6530437469482422,15,0.1777291003675036
1722607,0.3113576108486972,164075.0,51086.0,[],50,1.3,0.5,5,3786,0.1,0.0779798641840817,10.26,2.3,1.88,5,0.0,164075.0,0.0,10,14,20106.177888313323,0.2036886215209961,15,0.1343834156873726
