ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
6040436,0.6000338983050848,295000.0,177010.0,[],50,0.1,0.5,5,8,0.1,0.05156629257896317,0.09,2.76,1.02,5,0.0,295000.0,0.0,6,4,21419.13154427117,0.03988337516784668,11,0.12100520617067494
7910070,0.600037037037037,270000.0,162010.0,[],50,0.1,0.5,5,13,0.1,0.08606080619946876,0.06,2.78,1.0,5,0.0,270000.0,0.0,6,4,20789.807282294438,0.022192001342773438,11,0.12832422246956632
4052070,0.7945376712328767,292000.0,232005.0,[],50,0.1,0.5,5,17,0.1,0.06498720114658924,0.07,2.9,1.0,5,0.0,292000.0,0.0,6,4,27170.794359839783,0.0485074520111084,13,0.11711296894394424
8793379,0.7955576208178439,269000.0,214005.0,[],50,0.1,0.5,5,22,0.1,0.0731960741842348,0.14,3.0,0.9,5,0.0,269000.0,0.0,6,4,23477.765161779007,0.11452865600585938,13,0.10970661976018788
1737476,0.5935365853658536,246000.0,146010.0,[],50,0.1,0.5,5,27,0.1,0.07076315331663989,0.09,3.32,0.85,5,0.0,246000.0,0.0,6,4,41227.88200739209,0.03900289535522461,11,0.28236341351545846
4555377,1.000006968641115,287000.0,287002.0,[],50,0.1,0.5,5,32,0.1,0.06268305828822404,0.24,3.06,0.92,5,0.0,287000.0,0.0,6,4,126048.04603034032,0.14904499053955078,15,0.24475253694226493
9300523,0.8000264150943396,265000.0,212007.0,[],50,0.1,0.5,5,37,0.1,0.0967184368284975,0.16,3.0,0.93,5,0.0,265000.0,0.0,6,4,62484.40253839808,0.05757641792297363,13,0.20486219181329635
7124193,0.9400898876404494,267000.0,251004.0,[],50,0.1,0.5,5,42,0.1,1.0,0.27,2.96,0.93,5,0.0,267000.0,0.0,6,4,89794.5966590095,0.044145822525024414,15,0.25012143780851886
9337859,1.0,295000.0,295000.0,[],50,0.1,0.5,5,47,0.1,0.07467381376963969,0.47,3.16,0.9,5,0.0,295000.0,0.0,6,4,88565.08071573655,0.23351097106933594,15,0.30022061259571714
8539675,0.8000185185185186,270000.0,216005.0,[],50,0.1,0.5,5,52,0.1,0.057221561378053835,0.46,2.88,0.99,5,0.0,270000.0,0.0,6,4,63195.90236713286,0.35155606269836426,13,0.2925668496892797
2117619,0.6000271186440678,295000.0,177008.0,[],50,0.1,0.5,5,56,0.1,0.0833549743812896,0.19,2.86,0.81,5,0.0,295000.0,0.0,6,4,49182.88384525167,0.022719621658325195,11,0.27785684175433695
1022548,0.7067243816254417,283000.0,200003.0,[],50,0.1,0.5,5,58,0.1,0.08102629595072697,0.17,2.86,0.6,5,0.0,283000.0,0.0,6,4,26196.390466475452,0.007063388824462891,13,0.13097998763256277
782821,0.6000347826086957,230000.0,138008.0,[],50,0.1,0.5,5,62,0.1,0.0770010530602284,0.22,2.86,0.82,5,0.0,230000.0,0.0,6,4,23230.23983528973,0.022242307662963867,11,0.16832531328103972
2812874,0.7918225255972696,293000.0,232004.0,[],50,0.1,0.5,5,66,0.1,0.06931811157752821,0.18,2.72,0.82,5,0.0,293000.0,0.0,6,4,35632.27568017956,0.05032205581665039,13,0.1535847471603057
8894313,0.6000275862068966,290000.0,174008.0,[],50,0.1,0.5,5,69,0.1,0.07726519526012768,0.3,2.86,0.81,5,0.0,290000.0,0.0,6,4,15074.892289256397,0.2558255195617676,11,0.08663332886566363
3316940,0.7979233449477352,287000.0,229004.0,[],50,0.1,0.5,5,72,0.1,0.08982082756565803,0.63,2.9,0.77,5,0.0,287000.0,0.0,6,4,23149.73145392187,0.12879347801208496,13,0.10108876462385753
2313891,1.0,277000.0,277000.0,[],50,0.1,0.5,5,75,0.1,0.07932211602275782,0.44,2.9,0.56,5,0.0,277000.0,0.0,6,4,33488.25145186405,0.13840436935424805,15,0.12089621462766806
2593089,0.6000266666666667,300000.0,180008.0,[],50,0.1,0.5,5,79,0.1,0.07960019788660608,0.19,2.94,0.8,5,0.0,300000.0,0.0,6,4,63554.631385011126,0.049292564392089844,11,0.353065593668121
9593925,0.7908859315589354,263000.0,208003.0,[],50,0.1,0.5,5,81,0.1,0.08329748156404336,0.23,2.98,0.53,5,0.0,263000.0,0.0,6,4,52131.41547433519,0.016957521438598633,13,0.25062819033540473
1256587,1.0,247000.0,247000.0,[],50,0.1,0.5,5,86,0.1,0.07348746025439548,0.64,2.76,1.08,5,0.0,247000.0,0.0,6,4,35525.37075305121,0.24551796913146973,15,0.14382741195567292
2110669,0.5047809523809523,315000.0,159006.0,[],50,0.2,0.5,5,89,0.1,0.08116299357061184,0.78,3.02,0.56,5,0.0,315000.0,0.0,6,4,65159.87930739407,0.06187939643859863,11,0.40979509771577216
8284914,1.0,314000.0,314000.0,[],50,0.2,0.5,5,94,0.1,0.076862344867888,0.49,2.94,0.9,5,0.0,314000.0,0.0,6,4,43972.090720431836,0.13093352317810059,15,0.14003850547908228
9767459,1.0,283000.0,283000.0,[],50,0.2,0.5,5,96,0.1,0.07632755250913327,0.12,3.18,0.35,5,0.0,283000.0,0.0,6,4,35266.7997477632,0.010081052780151367,15,0.12461766695322686
9915937,1.0,277000.0,277000.0,[],50,0.2,0.5,5,100,0.1,0.08363995345250892,0.85,3.1,0.77,5,0.0,277000.0,0.0,6,4,32706.98668875738,0.10090494155883789,15,0.11807576421934073
2174035,1.0,275000.0,275000.0,[],50,0.2,0.5,5,103,0.1,0.06866758484582866,0.08,3.06,0.53,5,0.0,275000.0,0.0,6,4,57181.592850765104,0.005331277847290039,15,0.2079330649118731
1333170,0.797,266000.0,212002.0,[],50,0.2,0.5,5,105,0.1,0.08399405966657258,0.24,3.22,0.36,5,0.0,266000.0,0.0,6,4,18949.02828026471,0.042948246002197266,13,0.08938136564874251
2222062,0.5473754385964912,285000.0,156002.0,[],50,0.2,0.5,5,107,0.1,0.08270354526355478,0.52,3.3,0.35,5,0.0,285000.0,0.0,6,4,16533.225469632464,0.05352044105529785,13,0.10598085582000528
5214376,0.7942282958199357,311000.0,247005.0,[],50,0.2,0.5,5,111,0.1,0.04544367040645085,0.26,3.14,0.87,5,0.0,311000.0,0.0,6,4,71313.99237400969,0.06205296516418457,13,0.28871477247023214
5431399,0.8000166666666667,240000.0,192004.0,[],50,0.2,0.5,5,115,0.1,0.07178493351228113,0.33,2.82,0.79,5,0.0,240000.0,0.0,6,4,57866.245671001525,0.05832529067993164,13,0.30138041744443617
5239205,0.7905752212389381,339000.0,268005.0,[],50,0.2,0.5,5,119,0.1,0.08388028968292999,0.37,3.06,0.92,5,0.0,339000.0,0.0,6,4,32107.823148951582,0.02876567840576172,13,0.11980307512528342
2011491,0.792530612244898,294000.0,233004.0,[],50,0.2,0.5,5,123,0.1,0.08686177148648316,1.73,3.04,0.69,5,0.0,294000.0,0.0,6,4,48503.08605777588,0.1222076416015625,13,0.20816417768697482
6883972,1.0,240000.0,240000.0,[],50,0.2,0.5,5,126,0.1,0.062429754904139226,0.84,2.78,0.59,5,0.0,240000.0,0.0,6,4,50885.21591458027,0.2766225337982178,15,0.2120217329774178
5349969,0.795,239000.0,190005.0,[],50,0.2,0.5,5,129,0.1,0.08051421767646322,0.56,3.28,0.86,5,0.0,239000.0,0.0,6,4,52238.28304507209,0.13493895530700684,13,0.27493109678730604
5666073,0.7899811912225705,319000.0,252004.0,[],50,0.2,0.5,5,132,0.1,0.05264088929204812,0.99,3.06,0.72,5,0.0,319000.0,0.0,6,4,33408.352307245455,0.307858943939209,13,0.13257072231887373
6601655,0.8000142857142857,280000.0,224004.0,[],50,0.2,0.5,5,136,0.1,0.08425412458809853,0.5,3.14,0.73,5,0.0,280000.0,0.0,6,4,33851.854301039406,0.021332502365112305,13,0.15112165095730168
6343858,1.0,294000.0,294000.0,[],50,0.2,0.5,5,140,0.1,0.06536141546562135,1.15,2.86,0.99,5,0.0,294000.0,0.0,6,4,22794.45797223941,0.15481901168823242,15,0.07753216997360343
2542115,1.0,272000.0,272000.0,[],50,0.2,0.5,5,142,0.1,0.06875457898851195,0.21,3.06,0.56,5,0.0,272000.0,0.0,6,4,34040.54323793448,0.02190566062927246,15,0.12514905602181794
748683,0.7978900709219858,282000.0,225005.0,[],50,0.2,0.5,5,146,0.1,1.0,2.17,2.94,0.95,5,0.0,282000.0,0.0,6,4,84470.74719316211,0.08276963233947754,13,0.3754172004762655
