ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
2880853,0.4000700590831601,214105.0,85657.0,[],50,1.3,0.5,5,8,0.1,1.0,0.08,2.54,1.21,5,0.0,214105.0,0.0,6,7,9826.0,0.013145208358764648,9,0.11471333341116313
3091933,0.6000503133147327,218630.0,131189.0,[],50,1.3,0.5,5,13,0.1,0.06047176982993191,0.12,2.5,1.33,5,0.0,218630.0,0.0,6,7,65764.65579815704,0.21723723411560059,11,0.37803383323172496
8344804,0.4000694878743659,215865.0,86361.0,[],50,1.3,0.5,5,18,0.1,0.07083248105090509,0.22,2.42,1.32,5,0.0,215865.0,0.0,6,7,37649.184562004884,0.11824369430541992,9,0.4359512344924779
9967530,0.5308620689655172,220400.0,117002.0,[],50,1.3,0.5,5,22,0.1,0.07297014203576337,0.06,2.54,1.01,5,0.0,220400.0,0.0,6,7,50786.70698585929,0.032987117767333984,11,0.43406699873386173
7606484,0.40006344640893327,236420.0,94583.0,[],50,1.3,0.5,5,27,0.1,0.08726407583085787,0.21,2.56,1.26,5,0.0,236420.0,0.0,6,7,27790.575972176026,0.11768603324890137,9,0.29382210304363393
3315582,0.400063470570812,236330.0,94547.0,[],50,1.3,0.5,5,32,0.1,0.0790623526632931,0.34,2.66,1.19,5,0.0,236330.0,0.0,6,7,18539.06423211737,0.17523837089538574,9,0.19608305109752153
5008123,0.6000456256416106,219175.0,131515.0,[],50,1.3,0.5,5,37,0.1,0.06652042952522727,0.17,2.4,1.35,5,0.0,219175.0,0.0,6,7,35634.522932078035,0.05045509338378906,11,0.27095405795595967
6616860,0.6000425090996041,188195.0,112925.0,[],50,1.3,0.5,5,41,0.1,0.055354507186782365,0.28,2.52,0.92,5,0.0,188195.0,0.0,6,7,16583.126955329153,0.3329770565032959,11,0.14685080323514857
5286888,0.6000447087226718,223670.0,134212.0,[],50,1.3,0.5,5,44,0.1,0.06195511238824418,0.14,2.58,1.2,5,0.0,223670.0,0.0,6,7,45576.1162394814,0.01711750030517578,11,0.3395830196963118
1084540,0.6000537302205625,186115.0,111679.0,[],50,1.3,0.5,5,48,0.1,0.05282497804904968,0.19,2.44,1.29,5,0.0,186115.0,0.0,6,7,21920.864338267176,0.14201855659484863,11,0.1962845686142173
4020867,0.4000656024491581,228650.0,91475.0,[],50,1.3,0.5,5,53,0.1,0.07694286639716053,0.27,2.42,1.4,5,0.0,228650.0,0.0,6,7,18427.504947435184,0.1502237319946289,9,0.20144853727723622
7753102,0.4000572819704998,209490.0,83808.0,[],50,1.3,0.5,5,57,0.1,0.05335457433936875,0.05,2.54,1.03,5,0.0,209490.0,0.0,6,7,26338.62957666356,0.006387233734130859,9,0.31427345332979617
4494017,0.5780173333902574,234230.0,135389.0,[],50,1.3,0.5,5,61,0.1,0.05679783000229209,0.06,2.5,1.0,5,0.0,234230.0,0.0,6,7,124857.25176903275,0.00644683837890625,13,0.611329137770126
9575512,0.40007458233890214,201120.0,80463.0,[],50,1.3,0.5,5,65,0.1,1.0,0.42,2.5,1.23,5,0.0,201120.0,0.0,6,7,21683.582925761497,0.05591845512390137,9,0.2694851413166486
1536188,0.7942036300923297,237735.0,188810.0,[],50,1.3,0.5,5,68,0.1,0.08719889650675273,0.13,2.44,1.25,5,0.0,237735.0,0.0,6,7,80111.05772563847,0.014135360717773438,13,0.42429456980900626
2880561,0.3967076036274186,217896.0,86441.0,[],50,1.3,0.5,5,69,0.1,0.07087649055929597,0.31,2.5,0.24,5,0.0,217896.0,0.0,6,7,0.0,0.23609709739685059,0,0.0
3076162,0.4000702312950651,213580.0,85447.0,[],50,1.3,0.5,5,73,0.1,0.06787598515318011,0.56,2.46,1.21,5,0.0,213580.0,0.0,6,7,25632.593157432064,0.20672345161437988,9,0.29998236517878996
9569854,0.4000736973984818,203535.0,81429.0,[],50,1.3,0.5,5,78,0.1,0.06929750165653556,0.66,2.5,1.32,5,0.0,203535.0,0.0,6,7,32152.795253770862,0.2445540428161621,9,0.39485681088765506
4070084,0.4000366580113029,163675.0,65476.0,[],50,1.3,0.5,5,80,0.1,0.08651757261011896,0.09,2.38,0.53,5,0.0,163675.0,0.0,6,7,15126.828649204874,0.023758411407470703,9,0.2310286005437851
125410,0.4000879430129276,170565.0,68241.0,[],50,1.3,0.5,5,83,0.1,0.07540183652850085,0.21,2.4,1.36,5,0.0,170565.0,0.0,6,7,20282.823171871936,0.054650306701660156,9,0.29722341659518375
1415562,0.40007461201750893,201040.0,80431.0,[],50,1.3,0.5,5,88,0.1,0.09336748158755667,0.54,2.52,1.19,5,0.0,201040.0,0.0,6,7,23186.89908618713,0.12446379661560059,9,0.28828311330441164
502010,0.4000489666006978,245065.0,98038.0,[],50,1.3,0.5,5,92,0.1,0.05940905648115286,0.43,2.42,1.04,5,0.0,245065.0,0.0,6,7,35651.88689836549,0.18996238708496094,9,0.3636537556698983
2134100,0.6000529176889402,207870.0,124733.0,[],50,1.3,0.5,5,96,0.1,1.0,0.6,2.42,1.29,5,0.0,207870.0,0.0,6,7,42657.16437808022,0.04342293739318848,11,0.23204049488987527
3318398,0.40002813203300824,213280.0,85318.0,[],50,1.3,0.5,5,98,0.1,0.08608710448557647,0.19,2.44,0.49,5,0.0,213280.0,0.0,6,7,18697.616547583304,0.008399486541748047,9,0.219152072805074
2156652,0.6000395656570097,227470.0,136491.0,[],50,1.3,0.5,5,102,0.1,1.0,0.78,2.48,1.02,5,0.0,227470.0,0.0,6,7,89999.44154640223,0.019220352172851562,11,0.45371998016930026
1156326,0.6000522138680033,191520.0,114922.0,[],50,1.3,0.5,5,107,0.1,0.05064869810020474,0.24,2.58,1.25,5,0.0,191520.0,0.0,6,7,36292.822797485635,0.0548551082611084,11,0.3158039609255463
4648993,0.40004577240940875,196625.0,78659.0,[],50,1.3,0.5,5,108,0.1,0.04518272735803665,0.86,2.56,0.74,5,0.0,196625.0,0.0,6,7,23519.991845538178,0.34703564643859863,9,0.29901208819764014
2133357,0.3341127577466718,218965.0,73159.0,[],50,1.3,0.5,5,111,0.1,0.05029762947217471,0.27,2.4,0.78,5,0.0,218965.0,0.0,6,7,7565.003984979144,0.08356761932373047,9,0.10340496705776656
3248935,0.4000495724377246,242070.0,96840.0,[],50,1.3,0.5,5,114,0.1,0.07356257047017688,0.38,2.38,1.12,5,0.0,242070.0,0.0,6,7,33558.626520644015,0.011683940887451172,9,0.3465368290029328
2816247,0.4000712149266486,210630.0,84267.0,[],50,1.3,0.5,5,118,0.1,0.06892180377706715,0.36,2.42,1.29,5,0.0,210630.0,0.0,6,7,35164.03598586892,0.05761408805847168,9,0.4172930801603109
2024917,0.60003691058411,216740.0,130052.0,[],50,1.3,0.5,5,122,0.1,0.06793549083530381,0.32,2.54,0.93,5,0.0,216740.0,0.0,6,7,30647.71026216269,0.05633401870727539,11,0.23565735445946767
2268488,0.2047803853529358,219020.0,44851.0,[],50,1.3,0.5,5,123,0.1,0.040866805142109344,0.16,2.56,0.24,5,0.0,219020.0,0.0,6,7,0.0,0.08534502983093262,0,0.0
400741,0.40006673043130103,224785.0,89929.0,[],50,1.3,0.5,5,127,0.1,0.07164708803059203,0.19,2.42,1.32,5,0.0,224785.0,0.0,6,7,14183.314291566177,0.01556086540222168,9,0.15771680205013042
7045145,0.40004090258367986,220035.0,88023.0,[],50,1.3,0.5,5,128,0.1,0.043995764362610754,0.46,2.42,0.81,5,0.0,220035.0,0.0,6,7,24806.391109225657,0.29145050048828125,9,0.28181715130392804
5837865,0.8000174181889438,229645.0,183720.0,[],50,1.3,0.5,5,129,0.1,0.07934479661375196,0.27,2.46,0.96,5,0.0,229645.0,0.0,6,7,106608.59335387254,0.020593643188476562,13,0.5802775601669526
7650940,0.40006899882701996,217395.0,86973.0,[],50,1.3,0.5,5,134,0.1,0.061150799486456124,0.11,2.6,1.35,5,0.0,217395.0,0.0,10,7,26683.032912735544,0.27069878578186035,9,0.3067967405141313
7187332,0.40005449789274816,275240.0,110111.0,[],50,1.3,0.5,5,139,0.1,0.06948965199982729,0.08,2.44,1.27,5,0.0,275240.0,0.0,10,7,35756.53689151447,0.21398258209228516,9,0.32473174243730846
2638291,0.40005671184710484,264495.0,105813.0,[],50,1.3,0.5,5,144,0.1,0.07146527445479194,0.16,2.46,1.32,5,0.0,264495.0,0.0,10,7,42616.47834374916,4.8834075927734375,9,0.40275276519661246
