ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
979151,0.40009585889570554,156480.0,62607.0,[],50,1.3,0.5,5,7,0.1,0.06897210270899215,0.07,2.38,1.32,5,0.0,156480.0,0.0,25,8,9468.642476348781,72.74905610084534,9,0.15123935784095677
3113455,0.7504005300246943,166030.0,124589.0,[],50,1.3,0.5,5,12,0.1,0.08396145575153878,0.06,2.5,1.31,5,0.0,166030.0,0.0,25,8,15847.8409168833,33.70871329307556,13,0.11102670550363461
433024,0.4000744971442761,201350.0,80555.0,[],50,1.3,0.5,5,17,0.1,0.0760858341675068,0.09,2.38,1.43,5,0.0,201350.0,0.0,25,8,22994.030747197587,36.71033430099487,9,0.2854451088969969
8437222,0.4000817661488144,183450.0,73395.0,[],50,1.3,0.5,5,22,0.1,0.07769253149603633,0.07,2.34,1.41,5,0.0,183450.0,0.0,25,8,23179.127170995234,63.775439739227295,9,0.3158134364874342
1003863,0.40011299435028247,132750.0,53115.0,[],50,1.3,0.5,5,27,0.1,0.07208578402100176,0.05,2.36,1.37,5,0.0,132750.0,0.0,25,8,8986.1147366748,105.37260603904724,9,0.1691822411122056
146084,0.4000774373402855,193705.0,77497.0,[],50,1.3,0.5,5,32,0.1,0.08070099818348708,0.06,2.44,1.12,5,0.0,193705.0,0.0,25,8,12504.904925268065,23.073522806167603,9,0.1613598581269993
9904345,0.40011902400317395,126025.0,50425.0,[],50,1.3,0.5,5,37,0.1,0.08457329855194429,0.05,2.4,1.15,5,0.0,126025.0,0.0,25,8,9815.872354655256,14.73226547241211,9,0.19466281318106604
8307371,0.4001032169275761,145325.0,58145.0,[],50,1.3,0.5,5,42,0.1,0.08106804742691086,0.05,2.4,1.23,5,0.0,145325.0,0.0,25,8,13540.766811195446,27.039478540420532,9,0.2328792984985028
4682857,0.40007930843048617,189135.0,75669.0,[],50,1.3,0.5,5,47,0.1,0.08122093538779249,0.06,2.46,1.13,5,0.0,189135.0,0.0,25,8,14822.270870744598,57.915218353271484,9,0.19588300189964977
5691458,0.40007462686567163,201000.0,80415.0,[],50,1.3,0.5,5,52,0.1,0.0803065749109672,0.06,2.36,1.33,5,0.0,201000.0,0.0,25,8,15457.953493794419,1.4413044452667236,9,0.1922272398656273
9341507,0.4000741033494714,202420.0,80983.0,[],50,1.3,0.5,5,58,0.1,0.07601963404242958,0.07,2.4,1.24,5,0.0,202420.0,0.0,25,8,11353.131617978768,41.51377034187317,9,0.14019154165662878
9476794,0.6000429396483242,232885.0,139741.0,[],50,1.3,0.5,5,63,0.1,0.08236418326467286,0.06,2.42,1.14,5,0.0,232885.0,0.0,25,8,17047.12409678491,90.39923214912415,11,0.12199085520201595
4222774,0.40020571898786256,72915.0,29181.0,[],50,1.3,0.5,5,68,0.1,0.07518923162736396,0.06,2.34,1.26,5,0.0,72915.0,0.0,25,8,5624.735266132773,1.7589044570922852,9,0.19275334176802622
9946952,0.600059726452846,167430.0,100468.0,[],50,1.3,0.5,5,73,0.1,0.07873050616932466,0.1,2.5,1.14,5,0.0,167430.0,0.0,25,8,12771.88146862812,62.6351044178009,11,0.12712387495150815
797175,0.4000719527989639,208470.0,83403.0,[],50,1.3,0.5,5,78,0.1,0.07727683845237449,0.1,2.38,1.24,5,0.0,208470.0,0.0,25,8,16854.758253928692,43.0641667842865,9,0.2020881533509429
6508739,0.5943174230388433,217155.0,129059.0,[],50,1.3,0.5,10,88,0.1,0.07434573575310383,0.11,2.38,2.34,5,0.0,217155.0,0.0,25,8,30657.358672514267,247.23042798042297,11,0.18888500602262542
8367474,0.3946233333333333,300000.0,118387.0,[],50,1.3,0.5,10,97,0.1,0.08000542027786241,0.15,2.42,2.07,5,0.0,300000.0,0.0,25,8,15422.904859269613,238.40203642845154,9,0.13027532464940925
8385811,0.400100150225338,299550.0,119850.0,[],50,1.3,0.5,10,107,0.1,0.08389916203335022,0.17,2.4,2.7,5,0.0,299550.0,0.0,25,8,30835.474976539874,185.17107367515564,9,0.2572838963415926
6816397,0.4001266784899924,236820.0,94758.0,[],50,1.3,0.5,10,117,0.1,0.07668627051513452,0.19,2.54,2.38,5,0.0,236820.0,0.0,25,8,24607.679087712073,102.59429717063904,9,0.2596897263314134
2464020,0.40009968930167644,300935.0,120404.0,[],50,1.3,0.5,10,129,0.1,0.06823734855084,0.23,2.36,2.71,5,0.0,300935.0,0.0,25,8,33330.20434541901,234.2544116973877,9,0.2768197430767999
2093370,0.40012203803518764,245825.0,98360.0,[],50,1.3,0.5,10,139,0.1,0.08062381581378791,0.16,2.34,2.85,5,0.0,245825.0,0.0,25,8,32441.35224094568,222.8564693927765,9,0.32982261326703616
6282601,0.40010532598392023,284830.0,113962.0,[],50,1.3,0.5,10,149,0.1,0.0788093908722661,0.19,2.48,2.47,5,0.0,284830.0,0.0,25,8,16528.160293612444,387.28460788726807,9,0.14503220629343502
