ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
4276586,0.6668333666733347,59988.0,40002.0,[],10,1.3,0.5,10,13,0.1,0.08918068051883271,0.05,2.3,0.06,3,0.0,59988.0,0.0,10,1,8980.756051040347,3.3510260581970215,7,0.22450767589221407
575048,0.6668619982420159,51195.0,34140.0,[],10,1.3,0.5,10,23,0.1,0.07236083361261188,0.05,2.3,0.07,3,0.0,51195.0,0.0,10,1,11333.519591112632,0.19208717346191406,7,0.3319718685153085
8426069,0.6463523364976137,57201.0,36972.0,[],10,1.3,0.5,10,33,0.1,0.09612394537821273,0.05,1.9,0.06,3,0.0,57201.0,0.0,10,1,9762.66948654359,1.5808792114257812,7,0.26405575804780884
4504398,0.6668802186772589,46827.0,31228.0,[],10,1.3,0.5,10,43,0.1,0.07229362140776269,0.09,2.3,0.06,3,0.0,46827.0,0.0,10,1,4450.71947305746,5.758419752120972,7,0.14252335958298515
4882501,0.6668493261893165,49272.0,32857.0,[],10,1.3,0.5,10,52,0.1,0.06434562912444883,0.11,2.3,0.06,3,0.0,49272.0,0.0,10,1,11851.572312808317,6.705729007720947,7,0.3607015951793626
4730769,0.6668243456322926,63420.0,42290.0,[],10,1.3,0.5,10,62,0.1,0.07796152757359509,0.1,2.3,0.06,3,0.0,63420.0,0.0,10,1,14502.342449554417,3.018665075302124,7,0.3429260451538051
8312175,0.666895919303072,43620.0,29090.0,[],10,1.3,0.5,10,72,0.1,0.06682661548601096,0.15,2.5,0.06,3,0.0,43620.0,0.0,10,1,9641.794873760755,2.137108564376831,7,0.3314470565060418
420019,0.6668315380669744,54588.0,36401.0,[],10,1.3,0.5,10,81,0.1,0.08342222088991696,0.1,2.3,0.05,3,0.0,54588.0,0.0,10,1,14898.851623501205,3.548184633255005,7,0.4092978660888768
650140,0.6668203158344004,58575.0,39059.0,[],10,1.3,0.5,10,90,0.1,0.05798580350587952,0.2,2.3,0.06,3,0.0,58575.0,0.0,10,1,8360.937464281442,6.13922119140625,7,0.21405917878802433
35625,0.6668189571150097,65664.0,43786.0,[],10,1.3,0.5,10,100,0.1,0.0706521357686589,0.18,2.3,0.06,3,0.0,65664.0,0.0,10,1,9740.14955995082,4.4555113315582275,7,0.22244894623740052
9864486,0.6668244874769187,63363.0,42252.0,[],10,1.3,0.5,10,109,0.1,0.0805247084165436,0.14,2.5,0.06,3,0.0,63363.0,0.0,10,1,11192.767735655825,3.550626277923584,7,0.26490503965861556
4817708,0.6668685278265609,49539.0,33036.0,[],10,1.3,0.5,10,119,0.1,0.07972127036618529,0.2,2.1,0.06,3,0.0,49539.0,0.0,10,1,7896.555642519958,4.379741907119751,7,0.2390288062271449
4677745,0.6668586568367699,52086.0,34734.0,[],10,1.3,0.5,10,129,0.1,0.06647384371466722,0.1,2.3,0.06,3,0.0,52086.0,0.0,10,1,13225.550234987628,0.6158673763275146,7,0.38076669070615615
6186113,0.666870268569419,54027.0,36029.0,[],10,1.3,0.5,10,139,0.1,0.06646937610233271,0.18,2.1,0.07,3,0.0,54027.0,0.0,10,1,11409.553023083148,4.522212028503418,7,0.27490911555991493
4460107,0.6668624635600227,45966.0,30653.0,[],10,1.3,0.5,10,148,0.1,0.08103293571510173,0.26,2.5,0.05,3,0.0,45966.0,0.0,10,1,13384.835306372022,4.440298557281494,7,0.4366566178309471
6323960,1.0,144418.0,144418.0,[],25,1.3,0.5,10,156,0.1,0.077584548586204,0.22,3.84,0.25,4,0.0,144418.0,0.0,10,1,20863.480195392745,3.408536195755005,12,0.14446592665313704
6548217,1.0,134874.0,134874.0,[],25,1.3,0.5,10,164,0.1,0.06929059198125079,0.27,4.36,0.21,4,0.0,134874.0,0.0,10,1,29753.52475750408,6.359140872955322,12,0.22060237523543516
3066136,1.0,126150.0,126150.0,[],25,1.3,0.5,10,174,0.1,0.0756627226510065,0.24,4.56,0.27,4,0.0,126150.0,0.0,10,1,31871.375197724974,3.5813028812408447,12,0.2526466523799047
4354064,1.0,145805.0,145805.0,[],25,1.3,0.5,10,183,0.1,0.061557929349090816,0.23,3.96,0.24,4,0.0,145805.0,0.0,10,1,54465.24478055776,3.575326919555664,12,0.3735485393543278
1875126,1.0,137307.0,137307.0,[],25,1.3,0.5,10,191,0.1,0.07501036373484533,0.33,4.4,0.24,4,0.0,137307.0,0.0,10,1,28831.06009340581,3.8637099266052246,12,0.2099751658211585
2924533,1.0,122148.0,122148.0,[],25,1.3,0.5,10,200,0.1,0.08161375068979958,0.31,4.12,0.24,4,0.0,122148.0,0.0,10,1,36725.93841151921,3.8640708923339844,12,0.3006675378354063
7718490,1.0,127817.0,127817.0,[],25,1.3,0.5,10,207,0.1,0.07116410332664852,0.35,4.2,0.24,4,0.0,127817.0,0.0,10,1,33520.606872100514,5.472374439239502,12,0.26225468343100306
4424493,1.0,151603.0,151603.0,[],25,1.3,0.5,10,217,0.1,0.05827681318451848,0.55,3.92,0.28,4,0.0,151603.0,0.0,10,1,21754.14277511972,6.0157470703125,12,0.14349414441086072
