ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency,endTransmissionRatio
8073936,0.6711405706575125,50136.0,33648.303650485046,[],10,1.3,0.5,10,34,0.1,0.08897568819594738,1.34,1.7,0.12,3,3.0,50136.0,0.0,10,5,9921.644305449667,13.762295246124268,7,0.1978314784146129
3377307,0.6652682711415323,40761.0,27117.0,[],10,1.3,0.5,10,47,0.1,0.07784204580559018,0.1,1.7,0.18,3,0.0,40761.0,0.0,10,5,11904.83058877684,6.803398847579956,9,0.20559599662850303
148783,0.6377685787502464,50730.0,32354.0,[],10,1.3,0.5,10,57,0.1,0.0812538842636041,0.16,1.7,0.18,3,0.0,50730.0,0.0,10,5,20495.759326334242,11.169464349746704,9,0.3347995577499141
2598641,0.4111450252236212,47178.0,19397.0,[],10,1.3,0.5,10,67,0.1,0.08115393404757032,0.08,1.7,0.12,3,0.0,47178.0,0.0,10,5,12291.565802240664,8.75304365158081,9,0.1953895498544011
4777568,0.30965219310692776,63426.0,19640.0,[],10,1.3,0.5,10,78,0.1,0.07136482646697034,0.11,1.7,0.16,3,0.0,63426.0,0.0,10,5,6529.744616003469,11.880330085754395,9,0.08512024997397367
8215162,0.5768946053483853,64842.0,37407.0,[],10,1.3,0.5,10,92,0.1,0.07836914696794187,0.18,1.7,0.19,3,0.0,64842.0,0.0,10,5,15647.35992443528,5.983625650405884,9,0.18842479106529486
7511887,0.7997861577542675,53532.0,42814.15259690145,[],10,1.3,0.5,10,103,0.1,0.09186052991189922,0.13,1.7,0.16,3,1.0,53532.0,0.0,10,5,9472.830446777018,11.921672821044922,9,0.15032182501193356
157346,0.6372248268410796,51831.0,33028.0,[],10,1.3,0.5,10,117,0.1,0.07885072681337518,0.18,1.7,0.12,3,0.0,51831.0,0.0,10,5,11328.00141133913,10.818033218383789,9,0.13899899887528536
4769441,0.6364230059001036,44406.0,28261.0,[],10,1.3,0.5,10,127,0.1,0.09578158775904236,0.15,1.7,0.15,3,0.0,44406.0,0.0,10,5,12707.243199621167,4.82700252532959,9,0.2035014845478463
4258922,0.8256232465602492,40566.0,33492.23261996307,[],10,1.3,0.5,10,157,0.1,0.06482497070919754,4.81,1.7,0.33,3,1.0,40566.0,0.0,10,5,10186.26622348643,13.590681791305542,9,0.18724409888580043
5776424,0.6228277596366776,53286.0,33188.0,[],10,1.3,0.5,10,167,0.1,0.08926350940931103,0.15,1.7,0.2,3,0.0,53286.0,0.0,10,5,18319.50311896668,5.227391481399536,9,0.21339464074837713
5050655,0.8401067240617776,59982.0,50391.28152267354,[],10,1.3,0.5,10,191,0.1,0.08442850610397051,7.13,1.7,0.31,3,3.0,59982.0,0.0,10,5,21069.942103320493,13.044407367706299,9,0.21075421712965864
8900643,0.45167298286528684,61746.0,27889.0,[],10,1.3,0.5,10,377,0.1,0.09257173147085421,0.24,1.7,0.27,3,0.0,61746.0,0.0,10,5,19590.171961375505,4.778173208236694,9,0.20293966727484675
9688501,0.596166193831245,273270.0,162914.33578826432,[],50,1.3,0.5,10,389,0.1,0.06742168789346545,2.49,2.76,5.23,5,1.0,273270.0,0.0,10,5,57340.45904008404,10.431091785430908,15,0.13467377931452684
5478754,0.7258924753421553,270300.0,196208.7360849846,[],50,1.3,0.5,10,399,0.1,0.06665633106647977,0.41,2.64,3.81,5,1.0,270300.0,0.0,10,5,44796.588846126935,12.637999773025513,15,0.12888471375956836
